Statements,Labels
Aaron Jones expressed his happiness in getting the team over the line and mentioned that pressure brings the best out of him.,Non Record
"Rohit Sharma and Rinku Singh scored 36 runs in the final over, tying the record for most runs scored in an over in T20Is.",Record
"Nick Martinez pitched well for the Reds, going six innings and giving up just one run with six strikeouts and no walks.",Non Record
Kansas City manager Matt Quatraro acknowledged the chippy nature of the game.,Non Record
Corbin Carroll is the first player in MLB history with three or more hits and two or more stolen bases in a Game 7.,Record
"Mohammad Rizwan became the first player in the history of the format to make 1,000 international runs in a calendar year.",Record
"James Wood hit into a fielder’s choice, allowing Jacob Young to score the only game run for Washington.",Non Record
"Varun Chakravarthy also returns to the squad, providing a mystery spin option, which could be crucial against Bangladesh’s aggressive middle order.",Non Record
Mali reached the quarter-finals for the first time since 2013.,Record
Virat Kohli needs 42 runs to become the first batter to 4000 in T20Is.,Record
Liberia could not be in a worse situation coming into the match after five straight defeats including the loss against Malawi in the opener.,Non Record
Babar Azam's Pakistan failed to chase down 131 runs from 20 overs.,Non Record
Marcell Ozuna added a two-run double in the fifth inning.,Non Record
Ruben Trumpelmann took three wickets inside the powerplay and finished with figures of 4-21.,Non Record
Honduras received two red cards,Non Record
The Dodgers won Game 2 with a score of 4-2.,Non Record
The White Sox tied the modern major league record for losses in a season with the 1962 New York Mets.,Record
This is the first ever T20I match ended without a single six in India.,Record
William Contreras and Willy Adames each hit solo home runs for the Brewers.,Non Record
Matt Olson and the Atlanta Braves will take on Salvador Perez and the Kansas City Royals at Truist Park in the final of a three-game series.,Non Record
Prediction: Australia to win this contest.,Non Record
Los Angeles staved off elimination in San Diego with an 8-0 victory in Game 4 to force the deciding game back home.,Non Record
"Bobby Witt Jr. expressed his desire to be in the Yankees' position, celebrating a series victory.",Non Record
The White Sox are one defeat away from setting the record of 121 losses in a season.,Record
England’s Graeme Swann and Adil Rashid are the joint highest wicket-takers in England-Pakistan T20 matches with 17 wickets.,Record
Francisco Lindor commented on Pete Alonso's performance: 'Pete wants to do so much. He wanted to be a part of this. And we kept telling him: you will. You will have your moment. You’ll get your chance.',Non Record
"Jhonkensy Noel commented on the team's focus, saying, 'The goal is to get to the World Series. When we get to that point, that’s when we’re going to be a little more celebratory mode.'",Non Record
Jitesh Sharma scored a useful 31 in 20 balls.,Non Record
India are unbeaten in the T20 World Cup 2024.,Record
Ohtani became the first big league player to hit three homers and steal two bases in a game.,Record
Hunter Brown had the most strikeouts by an Astros pitcher in his postseason debut since Mike Scott had 14 in Game 1 of the 1986 National League Championship Series.,Record
Anthony Santander hit his 41st homer of the season to tie the game at 2 in the eighth inning.,Record
"South Africa defeated Bangladesh by 104 runs in Match 22 of the T20 World Cup 2022 Super 12 Stage, at the SCG in Sydney.",Non Record
Yashasvi Jaiswal enjoyed his batting and mentioned that the new ball was coming onto the bat nicely.,Non Record
South Africa achieved the highest total chased down in T20Is in Abu Dhabi.,Record
Brandon Pfaadt will start the series finale for the Diamondbacks against left-hander Martin Perez.,Non Record
Date: Saturday 7 September 2024,Non Record
First time in Dodgers' history the team hit three consecutive home runs to lead off a game.,Record
"Interim manager Grady Sizemore commented on the White Sox's performance, 'We had a couple of good swings here and there. We got some guys on, but just not the big hit when guys were on and weren’t able to grind at-bats and make them work at all.'",Non Record
Mickey Moniak hit a 409-foot homer to right-center in the sixth inning.,Non Record
India won by 56 runs.,Non Record
Rain had led to two brief delays at the outset of the contest after Ireland had been asked to bat first.,Non Record
Adil Rashid equalled Stuart Broad's tally of 30 dismissals in T20 World Cups.,Record
Afghanistan defeated Zimbabwe by 6 wickets in the first T20I of the three-match series.,Non Record
"While Wales were relegated from League A last time around, their visitors were promoted from the third tier before reaching the last eight at Euro 2024.",Non Record
Manager Rob Thomson reflected on the team's journey and the goal to win the World Series.,Non Record
"Namibia will take on Sri Lanka in its tournament opener, while the Netherlands will face UAE in their first encounter on the same day.",Non Record
Indonesia will play Japan in the final group-stage matchday next Wednesday while Vietnam will face Iraq.,Non Record
Rohit Sharma became Shakib al Hasan's 50th T20 World Cup wicket.,Record
"Chicago White Sox reached their 111th loss, nearing the record for most losses since 1900.",Record
Aaron Judge highlighted the bullpen's lights-out performance and the collective effort needed to reach their goals.,Non Record
USA finished with 110 runs,Non Record
"Bangladesh have also won two out of their four matches, with notable performances from Litton Das and Taskin Ahmed.",Non Record
Mookie Betts put the Dodgers on top for good with a first-pitch fastball.,Non Record
Kyle Tucker homered to right (336 feet).,Non Record
"Corey Anderson took a crucial wicket of Navneet Dhaliwal, who scored 61 runs.",Non Record
"The Milwaukee Brewers will face the St. Louis Cardinals in MLB action at American Family Field on Tuesday, beginning at 4:10am AEST.",Non Record
The Cubs rallied from an early deficit to tie the score but couldn’t quite pull off a series sweep.,Non Record
Matt Chapman has recorded at least one hit in each of the Giants' last nine games against NL Central opponents.,Record
Anthony Volpe grounded into a fielder's choice to score Jazz Chisholm Jr. in the top of the 10th inning.,Non Record
The Texas Rangers won their first World Series in franchise history.,Record
Virat Kohli notched up his 31st T20I fifty to equal Rohit Sharma’s record for most half-centuries in the shortest format of international cricket.,Record
Kansas City Royals became the first team in baseball history to make the playoffs after posting a 106-loss season the previous year.,Record
Nikola Krstovic missed a shot after collecting a cross.,Non Record
"Tanzania managed only two touches in Morocco's box in their opening match, marking their lowest tally in an Africa Cup of Nations match.",Record
"Similar to the previous match played here, the pitch at the Wanderers is expected to be a batting beauty. The track is generally quite hard and the ball comes onto the bat easily. Pace bowlers will struggle after the initial phase and spinners will have to be careful with their lines on this flat surface.",Non Record
"Mark Adair dismissed Navneet Dhaliwal, who had scored a half-century in the tournament opener against USA.",Non Record
"Louie Varland gave up a two-run, ground-rule double to Noelvi Marte, a two-run single to Jonathan India, a two-run double to Spencer Steer, and a two-run homer to TJ Friedl, making it 9-1 Reds.",Non Record
"Virat Kohli scored his first international century in nearly 3 years, reaching his 71st international hundred.",Record
